ID,Book,Author,Year,Poem,Line,Metaphor present or not,Count,Metaphor,Interpretation,Source ,Target,Mood
1,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වැසි ඉසෙන ඉසව්,සෞන්දර්යය ගගුල ගලා.,yes,1,සෞන්දර්යය ගගුලක් වැනිය.,කවියා සෞන්දර්යයේ අපුර්වත්ය ගලා යන ගගුලක් සේ දකියි.,සෞන්දර්යය,ගංගාව,සතුට
2,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වැසි ඉසෙන ඉසව්,දුම් සිී කළු වුණ හද බිත මත්තට,yes,1,හදවත කළු වු බිත්තියකට සමාන කර ඇත,කවියාගේ හදවත දුම් කවුලුවේ බිත්තියක් ලෙස කළු වි ඇති බව කවියා පවසයි,හදවත,කළුවු බිත්තිය,ශෝකය
3,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වැසි ඉසෙන ඉසව්,දෛව වලාවක් ගැවසෙනවා,yes,1,දෛව වලාවක්,වලාකුළු වැසි ලබා දෙන සේ දෛවය ද  ජි්විතයට යම් යම් දේ ලබාදෙයි.,දෛවය,වලාකුළු,බලාපොරොත්තුව
4,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,කාවන්තිස්ස,ගොළු මුහුද මැද,yes,1,ගොළු මුහුද,මුහුද අදහස් ප්‍රකාශ කල නොහැකි ගොළු පුද්ගලයෙක් වැනිය,මුහුද,ගොළු පුද්ගලයා,කුතුහලය
5,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,කාවන්තිස්ස,සරසා හරිත සළුවෙන්,yes,1,හරිත සළුව,කොල පැහැති වගාව සළුවකට සම කර ඇත.,කොල පැහැති වගාව ,සළුව,විශ්මය
6,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,නොපුදන්නේ තවම මට ඔබ ළැම හසුන්,yes,1,ළැම හසුන්,කාන්තාවගේ ළැම හංසයින්ට සමාන කර ඇත,ළැම,හංසයින්,"ආශාව, ශෝකය"
7,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,හසුන්,මෙපපු නිම්නේ සෝ ගගෙන්,yes,1,පපු නිම්නය,කාන්තාවගේ පපුව නිම්නයකට සමාන කර ඇත.,පපුව,නිම්නය,සතුට
8,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,කාසි පනම් පිනි වියලා.,yes,1,කාසි පනම් පිනි,මුදල් පිනි වලට සමාන කර ඇත,කාසි පනම්,පිනි,ශෝකය
9,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,ජි්විතයේ නියගය ආවේය,yes,1,ජි්විතයේ නියගය,මුදල් නැති අග හිගකම් ඇති කාලය ජි්විතයේ නියගය ලෙස කවියා හදුන්වයි,ජි්විතයේ අමාරැ කාලය,නියගය ,සංතාපය
10,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඔටුවා,යහළු තුරු වදුලු දැවුණෙන්,yes,1,දැවිගිය තුරු වදුලු,ලග සිටි යහළුවෝ තුරු වදුලු දැවිගියාසේ නික්ම ගොස් ඇත,යහළුවෝ,තුරු වදුලු ,ශෝකය
11,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,සිනාවේ විලෝමය,හිත් ලිපේ ඉඩ වසා මුසා බස් අළු හලා,yes,1,හිත් ලිප,කවියා හිත ලිපකට සමාන කර ඇත,හිත ,ලිප,ශෝකය
12,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,සිනාවේ විලෝමය,හිත් ලිපේ ඉඩ වසා මුසා බස් අළු හලා,yes,1,මුසා බස් අළු,මුසා බස් නමැති අළු වලින් සිත නැමැති ලිප වසා ඇති බව කවියා කියයි,බොරැව,අළු,කලකිරීම
13,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,සිනාවේ විලෝමය,නිවන්නට නොහැකියෙන් ගිනි පුළිඟු ආදරය,yes,1,ගිනි පුළිඟු ආදරය,ගිනි පෙනෙල්ලේ ගින්දර නැවත නැවතත් මතු වෙන්නාසේ ආදරයද මතු වේ. එය සම්පුර්ණයෙන් ඉවත් කල නොහැකිය.,ආදරය,ගිනි පුළිඟු,ශෝකය
14,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,සිනාවේ විලෝමය,සිහින කඩා පැන බොර කළ නිදි පොකුණ,yes,1,නිදි පොකුණ,කවියාගේ නින්ද නමැති පොකුණ  සිහින වලින් බාධා වන බව පවසයි,නින්ද ,පොකුණ ,ශෝකය
15,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,සිනාවේ විලෝමය,අපේ පළිඟු මිණ ඔබ වරදින් බිඳින,yes,1,ඔබ පළිඟු මිණකි,කාන්තාව පලිඟු මිණි කැටයකට සමාන කර ඇත,කාන්තාව,පළිඟු මිණි කැටය,ආදරය
16,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,සිනාවේ විලෝමය,"මිරිඟු මසිත ගිනිදැල් නිවන තරමට
වැස්සක් සරිය නුඹ නම් මේ ටික කලට",yes,1,වැස්සක් සරිය නුඹ,කවියාගේ සිතේ හට ගන්නා දුක් නමැති ගිනිදැල් නිවන වැස්සක් බඳුය කාන්තාවගේ සිනහව,සිනහව,වැස්ස ,"සතුට, සැනසිම"
